,word,num
420,科,7
421,集友,7
422,赤天化,7
423,广汇,7
424,凯撒,7
425,保荐,7
426,置,7
427,橡胶制品,7
428,外运发展,7
429,外运,7
430,四通集团,7
431,太原,7
432,刚玉,7
433,产业园,7
434,美盈森,7
435,秦岭,7
436,大地,7
437,建机,7
438,宏源证券,7
439,步步高,7
440,蓝色,7
441,光标,7
442,北,7
443,建材,7
444,万讯,7
445,自控,7
446,永生,7
447,澄星,7
448,宇顺,7
449,雷鸣,7
450,科化,7
451,制造,7
452,神州,6
453,易桥,6
454,计划,6
455,京能,6
456,天元,6
457,电缆,6
458,天创,6
459,时尚,6
460,东吴,6
461,国富,6
462,松德,6
463,天润,6
464,中科,6
465,电,6
466,江西,6
467,年产,6
468,驰宏,6
469,锗,6
470,工业,6
471,珠峰,6
472,华智,6
473,雅克,6
474,格,6
475,科学城,6
476,深,6
477,钨,6
478,华仁,6
479,南宁,6
480,管理,6
481,海际,6
482,铁路,6
483,用于,6
484,金科,6
485,审查,6
486,止,6
487,首航,6
488,华信,6
489,群兴,6
490,玩具,6
491,北方,6
492,交运,6
493,成飞,6
494,珈,6
495,伟,6
496,珠宝,6
497,太光,5
498,神州数码,5
499,华泽,5
500,钴,5
501,镍,5
502,分立,5
503,先河,5
504,天健,5
505,青岛,5
506,拉法基,5
507,西藏,5
508,文化,5
509,英华,5
510,河北,5
511,罗平,5
512,本次,5
513,天成,5
514,政策,5
515,方式,5
516,财信,5
517,确认,5
518,华源,5
519,修订,5
520,祁连山,5
521,昆明,5
522,苏,5
523,大维,5
524,金瑞,5
525,国电,5
526,摩根士丹利,5
527,华鑫,5
528,宏达,5
529,新文化,5
530,中标,5
531,热电,5
532,更正,5
533,拟定,5
534,南宁糖业,5
535,王子,5
536,酒泉,5
537,西藏天路,5
538,华邦颖泰,5
539,嘉源,5
540,黄,5
541,马甲,5
542,物流配送,5
543,扩股,5
544,雨虹,5
545,平潭,5
546,企业,5
547,建设项目,5
548,燃气,5
549,环球,5
550,东源,5
551,重庆市,5
552,银亿,5
553,江苏,5
554,中联,5
555,竞,5
556,天公,5
557,诚,5
558,电器设备,5
559,爆破,5
560,八菱,5
561,生产,5
562,长信,5
563,事宜,5
564,内蒙,5
565,华电,5
566,风力,5
567,德新,5
568,存储,5
569,光华,5
570,金通,5
571,灵,5
572,集成,5
573,中外运,5
574,空运,5
575,奥拓,5
576,纺织,4
577,青龙,4
578,管业,4
579,传化,4
580,金属,4
581,阳晨,4
582,盈峰,4
583,装备,4
584,天壕,4
585,安徽,4
586,山南,4
587,对光,4
588,正,4
589,前,4
590,拟置,4
591,江海,4
592,天银,4
593,持,4
594,华龙,4
595,合资,4
596,卫士,4
597,通,4
598,计算机,4
599,再生资源,4
600,云煤,4
601,大红,4
602,山,4
603,管道,4
604,明胶,4
605,肇庆,4
606,国电电力,4
607,乳业,4
608,承销,4
609,迪马,4
610,集团公司,4
611,人民政府,4
612,华新,4
613,收到,4
614,新区,4
615,通知书,4
616,期间,4
617,节余,4
618,光伏,4
619,电站,4
620,合作,4
621,国都,4
622,银润,4
623,柯利达,4
624,绿一,4
625,小康,4
626,宁东,4
627,开元,4
628,审阅,4
629,国投,4
630,华商,4
631,世纪,4
632,双汇发展,4
633,凯迪,4
634,斯伍德,4
635,嘉陵,4
636,德恒,4
637,华创,4
638,大通,4
639,康恩贝,4
640,拜特,4
641,申银万国,4
642,参与,4
643,红太阳,4
644,春天,4
645,利用,4
646,伟星,4
647,持续,4
648,督导,4
649,半年度,4
650,天宏,4
651,影视文化,4
652,宏大,4
653,地点,4
654,华银,4
655,银座,4
656,数控,4
657,四川长虹,4
658,股东权益,4
659,佐力,4
660,北港,4
661,龙源,4
662,信邦,4
663,机床,4
664,柳州市,4
665,双飞,4
666,电器配件,4
667,星河,4
668,意见函,4
669,重工,4
670,号,4
671,新海,4
672,圣莱达,4
673,意向书,4
674,太平洋,4
675,生产线,4
676,研发,4
677,基地,4
678,之二,3
679,兰光,3
680,信息技术,3
681,新野,3
682,天通股份,3
683,润发,3
684,发生,3
685,业绩,3
686,变脸,3
687,情形,3
688,凯文,3
689,生物化工,3
690,浙富,3
691,中原,3
692,估计,3
693,钦州市,3
694,港口,3
695,化学工程,3
696,国兴,3
697,置业,3
698,大洲,3
699,瑛,3
700,明,3
701,注销,3
702,金诚,3
703,同达,3
704,交通,3
705,天利,3
706,拓日,3
707,新能,3
708,中投,3
709,华融,3
710,润,3
711,电机,3
712,复牌,3
713,美特,3
714,正平,3
715,东晶,3
716,财务数据,3
717,通达,3
718,流域,3
719,海问,3
720,天山纺织,3
721,西拓,3
722,说明会,3
723,太极集团,3
724,盘江,3
725,东升,3
726,庙,3
727,前期,3
728,差错,3
729,战略,3
730,资环,3
731,工程技术,3
732,华盛,3
733,投向,3
734,汇能,3
735,晨光,3
736,风范,3
737,上义,3
738,.%,3
739,煤炭,3
740,自有,3
741,医院,3
742,水利,3
743,经济,3
744,建工,3
745,所得税,3
746,雪峰,3
747,参股,3
748,金融,3
749,华通,3
750,昌河,3
751,及换,3
752,股,3
753,中百,3
754,金圆,3
755,佛塑,3
756,玻纤,3
757,立思辰,3
758,支付,3
759,转让款,3
760,药用,3
761,攀钢,3
762,一期,3
763,闽福发,3
764,天一,3
765,圣达,3
766,鑫科,3
767,梦舟,3
768,华邦,3
769,北岸,3
770,江山,3
771,东区,3
772,东莞,3
773,山东,3
774,会计师,3
775,合伙,3
776,委员会,3
777,新赛,3
778,渤海,3
779,天广,3
780,中茂,3
781,钦州,3
782,董事,3
783,矿业集团,3
784,备案,3
785,绿,3
786,邦,3
787,杰赛,3
788,航电,3
789,测,3
790,三环股份,3
791,金元,3
792,四川省,3
793,秦川,3
794,工具,3
795,政府,3
796,金钰,3
797,广日,3
798,飞机,3
799,通裕,3
800,概算,3
801,海南,3
802,国家,3
803,鼓励类,3
804,华孚色纺,3
805,筹划,3
806,红塔,3
807,贵阳,3
808,天泽,3
809,新能源,3
810,吉峰,3
811,农机,3
812,水务,3
813,申科,3
814,通化,3
815,金马,3
816,华英,3
817,租赁,3
818,华锦,3
819,同德,3
820,国际金融,3
821,恒通,3
822,喀什,3
823,石化,3
824,大连,3
825,平安,3
826,亿利,3
827,配件,3
828,华平,3
829,索道,3
830,深圳市,2
831,北京航天,2
832,威华,2
833,万,2
834,马,2
835,都江堰,2
836,对松德,2
837,影视,2
838,东方龙,2
839,辉,2
840,中企,2
841,华,2
842,中储,2
843,投入,2
844,徐工,2
845,工程机械,2
846,平庄,2
847,生物科技,2
848,拓尔思,2
849,新巴尔虎右旗,2
850,荣达,2
851,仁盈,2
852,赛马,2
853,吉电,2
854,威龙,2
855,盐化,2
856,高速公路,2
857,油漆,2
858,亚东,2
859,汇通,2
860,钛白,2
861,过渡期,2
862,长征,2
863,普通股,2
864,巨石,2
865,烽火,2
866,气体,2
867,兴,2
868,中绒,2
869,锐康,2
870,晶体,2
871,汇总,2
872,技术改造,2
873,牧业,2
874,净资产,2
875,港中旅,2
876,媒体,2
877,一心,2
878,堂,2
879,国金,2
880,分众,2
881,多媒体技术,2
882,日止,2
883,中色,2
884,东华,2
885,奥特,2
886,迅,2
887,西油,2
888,欧美,2
889,宋城,2
890,演艺,2
891,华侨,2
892,投资区,2
893,统一,2
894,侨虹,2
895,投资者,2
896,贵安,2
897,清新,2
898,财富,2
899,里昂,2
900,联建,2
901,海正药业,2
902,生物制药,2
903,三圣,2
904,特材,2
905,天津,2
906,立中,2
907,美丽,2
908,科工,2
909,研究院,2
910,消防,2
911,欣旺达,2
912,蒙草,2
913,抗旱,2
914,友好,2
915,巫溪县,2
916,溪河,2
917,重庆百货,2
918,大成,2
919,银川,2
920,技术开发区,2
921,合同书,2
922,MW,2
923,医疗,2
924,组建,2
925,武汉,2
926,便利店,2
927,交易所,2
928,临潭县,2
929,莲峰,2
930,武昌鱼,2
931,黔,2
932,德阳市,2
933,旌能,2
934,金城,2
935,整体,2
936,南岭,2
937,医药集团,2
938,中邦,2
939,国海,2
940,福建,2
941,福瑞,2
942,希,2
943,努尔,2
944,财务,2
945,凯,2
946,万泽,2
947,双奇,2
948,九发,2
949,爱康,2
950,增加,2
951,瑞安,2
952,禾嘉,2
953,国统,2
954,创新,2
955,海航,2
956,东洲,2
957,张掖市,2
958,龙汇,2
959,金点,2
960,延期,2
961,明欣,2
962,老百姓,2
963,包钢,2
964,零部件,2
965,兴蓉,2
966,成都市,2
967,扬帆,2
968,钧,2
969,主体,2
970,拖船,2
971,飞利信,2
972,天风,2
973,天坛生物,2
974,胜港,2
975,迪森,2
976,生物质能,2
977,集中供热,2
978,管材,2
979,保税,2
980,港区,2
981,盛港,2
982,炼石,2
983,北海,2
984,协议书,2
985,医药,2
986,港九,2
987,黄海,2
988,德力西,2
989,交通运输,2
990,格瑞特,2
991,首钢,2
992,重机,2
993,灵云,2
994,四方,2
995,峨眉山,2
996,宏润,2
997,青海省,2
998,并网,2
999,华金,2
1000,秦川发展,2
1001,上半年,2
1002,说明书,2
1003,通诚,2
1004,补助,2
1005,亚盛,2
1006,提供,2
1007,兆,2
1008,锦泰,2
1009,香雪,2
1010,东碳,2
1011,经纪,2
1012,日上,2
1013,高技术,2
1014,藏格,2
1015,京东方,2
1016,有色金属,2
1017,第号,2
1018,华西,2
1019,西宁,2
1020,特钢,2
1021,认定,2
1022,远东,2
1023,永祥,2
1024,器材,2
1025,陕,2
1026,中国证监会,2
1027,甘孜州,2
1028,融达,2
1029,锂业,2
1030,雅化,2
1031,梅林,2
1032,浩源,2
1033,客车,2
1034,终止,2
1035,深交所,2
1036,年报,2
1037,天马,2
1038,国开,2
1039,华宇,2
1040,电工,2
1041,之非,2
1042,书,2
1043,鸿达,2
1044,民族,2
1045,太阳能,2
1046,东莞市,2
1047,华林,2
1048,万商,2
1049,天勤,2
1050,中小板,2
1051,中安消,2
1052,事前,2
1053,卫星,2
1054,宝利,2
1055,筹,2
1056,数,2
1057,差异,2
1058,洁能,2
1059,八一,2
1060,丹甫,2
1061,景丰,2
1062,减免,2
1063,太阳,2
1064,恒泰长,2
1065,财,2
1066,提示性,2
1067,旭飞,2
1068,金洲,2
1069,慈航,2
1070,设备,2
1071,混凝土,2
1072,三特,2
1073,电脑,2
1074,自贡,2
1075,广电,2
1076,视讯,2
1077,网络,2
1078,英大,2
1079,银泰,2
1080,设计,2
1081,铟,2
1082,中核,2
1083,动力机械,2
1084,罗江县,2
1085,玉龙,2
1086,凯达,2
1087,澳广,1
1088,中创,1
1089,信测,1
1090,信威,1
1091,关联方,1
1092,华汇,1
1093,委托,1
1094,昌吉,1
1095,开发区,1
1096,龙,1
1097,云天化,1
1098,核准,1
1099,申请材料,1
1100,顺丰,1
1101,安洁,1
1102,星普,1
1103,医科,1
1104,西泵,1
1105,江利,1
1106,圣特,1
1107,机械制造,1
1108,鲲鹏,1
1109,自愿性,1
1110,宝硕,1
1111,高铁,1
1112,PC,1
1113,制品,1
1114,海润,1
1115,补充协议,1
1116,陕鼓,1
1117,复核,1
1118,总,1
1119,中银国际,1
