,word,num
421,同力,12
422,东方网,12
423,力,12
424,苏交科,12
425,电广,12
426,华茂,12
427,天风,12
428,林森,12
429,猛狮,12
430,新元,12
431,高新,12
432,出资,12
433,派神,12
434,西安,12
435,药业,12
436,中利,12
437,宝通,11
438,软件,11
439,云南,11
440,钢构,11
441,恒力,11
442,柏科,11
443,中伦,11
444,中昌,11
445,印尼,11
446,四通,11
447,海外,11
448,跨境,11
449,天沃,11
450,机场,11
451,海格,11
452,置业,11
453,流动资金,11
454,第二次,11
455,拟以,11
456,认购,11
457,中茂,11
458,中环,11
459,洁能,11
460,宁波,11
461,光学,11
462,中铁,11
463,冀东水泥,10
464,发起,10
465,宝钢股份,10
466,国电,10
467,南瑞,10
468,文山,10
469,化学工程,10
470,通源,10
471,浔兴,10
472,广州,10
473,广汇,10
474,通用,10
475,四创,10
476,大洲,10
477,交运,10
478,如意,10
479,九洲,10
480,证监会,10
481,东土,10
482,实达,10
483,万泽,10
484,泛海,10
485,瑞银,10
486,达华,10
487,无锡,10
488,委托,10
489,港务,10
490,哈投,10
491,事宜,10
492,环球,10
493,恒泰艾普,10
494,井神,10
495,新能源,10
496,数控,10
497,国瓷,9
498,转增,9
499,股本,9
500,汽车,9
501,会计师,9
502,限制性,9
503,激励,9
504,计划,9
505,隆鑫,9
506,河南,9
507,红箭,9
508,神剑,9
509,方圆,9
510,支承,9
511,广西,9
512,风范,9
513,赤峰,9
514,答复,9
515,大杨,9
516,创世,9
517,老白干,9
518,科隆,9
519,精化,9
520,国富,9
521,申报材料,9
522,中工,9
523,江海,9
524,半年度,9
525,中国证监会,9
526,剩余,9
527,超募,9
528,自有,9
529,白云,9
530,四川,9
531,金瑞,9
532,书,9
533,合纵,9
534,深赛格,9
535,加加,9
536,设研院,9
537,中远,9
538,市场,9
539,华龙,9
540,东华,9
541,金科,9
542,中联,9
543,生态,9
544,杭州,9
545,法,9
546,紫,9
547,码头,9
548,孙,8
549,公积金,8
550,中核,8
551,正大,8
552,方大,8
553,集运,8
554,鹏,8
555,茂业,8
556,增持,8
557,延期,8
558,中科,8
559,定向,8
560,中创,8
561,信测,8
562,中捷,8
563,发电,8
564,山鼎,8
565,汇,8
566,前次,8
567,第一,8
568,涪陵,8
569,天利,8
570,苏州,8
571,意向书,8
572,上市公司,8
573,北化,8
574,雷鸣,8
575,科化,8
576,企业,8
